id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
5B9B94273658168F7F0B8B6C55C9311774669FCE,Zbigniew,Bronisław,,Gaś,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie,Zbigniew Bronisław Gaś,Zbigniew_Bronisław_Gaś_f3F,
56D9B0401BFA128C0783E51A410F3B7A2842651D,Barbara,Urszula,,Gawda,Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,Barbara Urszula Gawda,Barbara_Urszula_Gawda_04S,0000-0002-6783-1779
07F8D75052B5344E69A660E85F794D1CC5B92D9D,Łukasz,,,Gawęda,Instytut_Psychologii_Polskiej_Akademii_Nauk,Łukasz Gawęda,Łukasz_Gawęda_flE,0000-0001-6578-1846 
1BF0231CFEEC355CBB7774CE5FDDC953E47C576F,Magda,,,Gawłowska,Uniwersytet_Jagielloński_w_Krakowie,Magda Gawłowska,Magda_Gawłowska_siR,0000-0003-2079-9211
EBA681B6CFF65F57009D9772F297AEAEAFBC54F6,Natalia,,,Gawron,Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,Natalia Gawron,Natalia_Gawron_zU1,0000-0002-6052-1946
D0DEE35CFFF5E13165C57EABD01F00E13D4DC1D2,Aleksandra,,,Gawrońska,Krakowska_Akademia_Andrzeja_Frycza_Modrzewskiego_w_Krakowie,Aleksandra Gawrońska,Aleksandra_Gawrońska_Utg,
0A2792CBD6A7C29C3314C3788D75ACA1B0524E35,Magdalena,,,Gawrych,Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,Magdalena Gawrych,Magdalena_Gawrych_m0a,0000-0003-0668-5437
45F5E38F51D0C4C451B5226563487A1C685385E4,Krzysztof,,,Gąsior,Uniwersytet_Jana_Kochanowskiego_w_Kielcach,Krzysztof Gąsior,Krzysztof_Gąsior_RHc,
26AA012C7C189F863935D792AD0337A7065C0741,Magdalena,Agnieszka,,Gąsiorowska,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Magdalena Agnieszka Gąsiorowska,Magdalena_Agnieszka_Gąsiorowska_ZWL,0000-0003-3798-9265
B3EFD58B76EFE5FE5EC29DEFA2A1204CD5B1B2DC,Agata,Dorota,,Gąsiorowska,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Agata Dorota Gąsiorowska,Agata_Dorota_Gąsiorowska_8zj,0000-0002-3354-1095
C9B4C9DB5BCEE3EB0E6F4377EB7E99146246839D,Krzysztof,,,Gerc,Uniwersytet_Jagielloński_w_Krakowie,Krzysztof Gerc,Krzysztof_Gerc_0Uu,
33DB3B217A71D14DF46127D7B239F5088334A767,Justyna,,,Gerłowska,Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,Justyna Gerłowska,Justyna_Gerłowska_IPx,0000-0003-0119-9077
